C_ID_UD_ORGANICA;C_DNM_UD_ORGANICA;C_ID_NIVEL_ADMON;C_ID_TIPO_ENT_PUBLICA;N_NIVEL_JERARQUICO;C_ID_DEP_UD_SUPERIOR;C_DNM_UD_ORGANICA;C_ID_DEP_UD_PRINCIPAL;C_DNM_UD_ORGANICA;B_SW_DEP_EDP_PRINCIPAL;C_ID_DEP_EDP_PRINCIPAL;C_DNM_UD_ORGANICA;C_ID_ESTADO;D_VIG_ALTA_OFICIAL;NIF_CIF
A01035526;Delegación Territorial de Sostenibilidad, Medio Ambiente y Economía Azul en Granada;2;CA;3;A01041432;Consejería de Sostenibilidad y Medio Ambiente;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01035530;Delegación Territorial de Sostenibilidad, Medio Ambiente y Economía Azul en Huelva;2;CA;3;A01041432;Consejería de Sostenibilidad y Medio Ambiente;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01035534;Delegación Territorial de Sostenibilidad, Medio Ambiente y Economía Azul en Jaén;2;CA;3;A01041432;Consejería de Sostenibilidad y Medio Ambiente;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01035538;Delegación Territorial de Sostenibilidad, Medio Ambiente y Economía Azul en Málaga;2;CA;3;A01041432;Consejería de Sostenibilidad y Medio Ambiente;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01035556;Delegación Territorial de Sostenibilidad, Medio Ambiente y Economía Azul en Sevilla;2;CA;3;A01041432;Consejería de Sostenibilidad y Medio Ambiente;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01041492;Viceconsejería (Sostenibilidad y Medio Ambiente);2;;3;A01041432;Consejería de Sostenibilidad y Medio Ambiente;A01002820;Junta de Andalucía;N;;;V;27/08/24;S4111001F
A01041534;Viceconsejería (Industria, Energía y Minas);2;;3;A01041433;Consejería de Industria, Energía y Minas;A01002820;Junta de Andalucía;N;;;V;11/08/22;S4111001F
A01050737;Viceconsejería (Turismo y Andalucía Exterior);2;;3;A01050736;Consejería de Turismo y Andalucía Exterior;A01002820;Junta de Andalucía;N;;;V;27/08/24;S4111001F
A01004457;Subdelegación del Gobierno de Junta de Andalucía en Campo de Gibraltar;2;CA;4;A01004401;Delegación del Gobierno de la Junta de Andalucía en Cádiz;A01002820;Junta de Andalucía;N;;;V;;S4111001F
A01005516;Secretaria General de la Delegación del Gobierno en Cádiz;2;CA;4;A01004401;Delegación del Gobierno de la Junta de Andalucía en Cádiz;A01002820;Junta de Andalucía;N;;;V;01/08/12;S4111001F
